molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL1255743,Cl.N[C@@H]1C[C@H]1c1ccccc1,35.0,active
CHEMBL887,C#CCN[C@@H]1CCc2ccccc21,14.0,active
CHEMBL1235738,C#CCN[C@H]1CCc2ccccc21,14.0,active
CHEMBL332223,CCOC(=O)C1=Cc2ccccc2CC1=O,5011.87,intermediate
CHEMBL333180,CCOC(=O)C1=Cc2cc(Br)ccc2CC1=O,1000.0,active
CHEMBL123609,O=C(O)C1=Cc2cc(Br)ccc2CC1=O,33.11,active
CHEMBL122750,O=C(O)C1=Cc2cc(Cl)ccc2CC1=O,22.91,active
CHEMBL331290,O=C(Cl)C1=Cc2cc([N+](=O)[O-])ccc2CC1=O,104.71,active
CHEMBL332164,Cc1ccc2c(c1)C=C(C(=O)Cl)C(=O)C2,100.0,active
CHEMBL123768,CCOC(=O)C1=Cc2cc(C)ccc2CC1=O,1000.0,active
CHEMBL122697,CCOC(=O)C1=Cc2cc(Cl)ccc2CC1=O,1000.0,active
CHEMBL340590,O=C(Cl)C1=Cc2cc(Cl)ccc2CC1=O,10.0,active
CHEMBL122279,O=C(O)C1=Cc2ccccc2CC1=O,17.38,active
CHEMBL125541,O=C(Cl)C1=Cc2cc(Br)ccc2CC1=O,109.65,active
CHEMBL331245,Cc1ccc2c(c1)C=C(C(=O)O)C(=O)C2,19.05,active
CHEMBL121752,CCOC(=O)C1=Cc2cc([N+](=O)[O-])ccc2CC1=O,1000.0,active
CHEMBL123071,O=C(O)C1=Cc2cc([N+](=O)[O-])ccc2CC1=O,19.5,active
CHEMBL123155,O=C(Cl)C1=Cc2ccccc2CC1=O,114.82,active
CHEMBL56918,C/C(=C\COc1ccc2ccc(=O)oc2c1)C1=CC(=O)C(C)(C)O1,144.54,active
CHEMBL122239,Cc1cc2ccc(OC/C=C/C3=CC(=O)C(C)(C)O3)cc2oc1=O,588.84,active
CHEMBL326485,CC1(c2ccccc2)OC(/C=C/COc2ccc3ccc(=O)oc3c2)=CC1=O,1513.56,intermediate
CHEMBL119017,C/C(=C\COc1ccc2c(C)c(C)c(=O)oc2c1)C1=CC(=O)C(C)(C)O1,128.82,active
CHEMBL120770,Cc1cc(=O)oc2cc(OC/C=C/C3=CC(=O)C(C)(C)O3)ccc12,169.82,active
CHEMBL118875,Cc1c(C)c2ccc(OC/C=C/C3=CC(=O)C(C)(C)O3)cc2oc1=O,630.96,active
CHEMBL118629,CC(=O)/C=C/C=C/COc1ccc2ccc(=O)oc2c1,1698.24,intermediate
CHEMBL333655,CC1(C)OC(/C=C/COc2ccc3ccc(=O)oc3c2)=CC1=O,28.18,active
CHEMBL130217,NC(=O)/C=C1\CCc2c(F)cc(F)cc21,200.0,active
