molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL4746352,CC(=O)c1ccc(-c2cnc3c4cccnc4nn3c2)cc1,active,288.31,3.147100000000001,0.0,5.0,6.886056647693163
CHEMBL4780349,CCOC(=O)c1ccc(-c2cnc3c4cccnc4nn3c2)cc1,active,318.336,3.121200000000001,0.0,6.0,6.0851281824599495
CHEMBL4798781,Fc1ccc(-c2cnc3c4cccnc4nn3c2)cn1,inactive,265.25100000000003,2.4786,0.0,5.0,4.0
CHEMBL4748078,C(=C/c1cnc2c3cccnc3nn2c1)\c1ccccc1,active,272.311,3.4479000000000006,0.0,4.0,6.07727454200674
CHEMBL4757484,COc1ccc(-c2cnc3c4ncccc4nn3c2)cc1,active,276.29900000000004,2.9531,0.0,5.0,6.627087997029894
CHEMBL4785345,c1ccc(-c2cnc3c4ncccc4nn3c2)cc1,inactive,246.27300000000002,2.9445000000000006,0.0,4.0,4.054039296422431
CHEMBL4778686,c1cnc2c(c1)nn1cc(-c3ccsc3)cnc21,inactive,252.30200000000002,3.006000000000001,0.0,5.0,4.8297382846050425
CHEMBL4750291,CCOC(=O)c1ccccc1-c1cnc2c3nccnc3nn2c1,inactive,319.324,2.5162000000000004,0.0,7.0,4.0
CHEMBL887,C#CCN[C@@H]1CCc2ccccc21,active,171.243,1.8967,1.0,1.0,7.443697499232712
CHEMBL396778,C[C@H](NCc1ccc(OCc2cccc(F)c2)cc1)C(N)=O,active,302.34900000000005,2.3681,2.0,3.0,7.5376020021010435
CHEMBL340807,COc1ccc2c3c([nH]c2c1)C(C)=NCC3,inactive,214.26799999999997,2.5416000000000007,1.0,2.0,4.0
CHEMBL8706,C#CCN(C)CCCOc1ccc(Cl)cc1Cl,inactive,272.175,3.327300000000002,0.0,2.0,4.866461091629782
CHEMBL4787352,O=C(Oc1ccc(CCO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1)c1ccccc1,active,404.4150000000001,0.26480000000000015,4.0,8.0,7.096910013008056
CHEMBL465208,OC[C@H]1O[C@@H](OCCc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O,active,300.307,-1.2488000000000008,5.0,7.0,6.0915149811213505
CHEMBL8706,C#CCN(C)CCCOc1ccc(Cl)cc1Cl,inactive,272.175,3.327300000000002,0.0,2.0,4.848017604542526
CHEMBL887,C#CCN[C@@H]1CCc2ccccc21,active,171.243,1.8967,1.0,1.0,7.638272163982407
CHEMBL4788708,CC(=O)NC[C@@H]1OC(=O)N2c3cc(F)c(N4CC[S+]([O-])CC4)cc3OC[C@@H]12,inactive,397.42800000000017,0.6167,1.0,6.0,4.0
CHEMBL288149,CC(=O)NC[C@H]1CN(c2ccc(N3CCSCC3)c(F)c2)C(=O)O1,active,353.4190000000001,1.8401999999999994,1.0,5.0,6.154901959985743
CHEMBL4780719,O=c1ccoc2ccc(OCCCCN3CCCC3)cc12,inactive,287.359,3.0478000000000014,0.0,4.0,4.707743928643524
CHEMBL4794879,CNc1nnc(CCc2c[nH]c3ccc(OC)cc23)o1,inactive,272.30800000000005,2.3864,2.0,5.0,4.431798275933005
CHEMBL4778192,COc1ccc2[nH]cc(CCc3nn(CC4CCCC4)c(=O)o3)c2c1,inactive,341.4110000000001,3.3016000000000023,1.0,5.0,4.301029995663981
CHEMBL4793947,COc1ccc2[nH]cc(CCc3nn(CC4CCC4)c(=O)o3)c2c1,inactive,327.38400000000007,2.911500000000001,1.0,5.0,4.301029995663981
CHEMBL4783536,COc1ccc2[nH]cc(/C=C/c3n[nH]c(=O)o3)c2c1,inactive,257.24899999999997,2.0231999999999997,2.0,4.0,4.165579296318468
CHEMBL4797429,COc1ccc2c(c1)C(/C=C/c1n[nH]c(=O)o1)=CCC2,inactive,270.28800000000007,2.4145000000000003,1.0,4.0,4.447331783887806
CHEMBL16857,C#CCN(C)[C@@H](C)Cc1ccccc1,active,187.286,2.1826,0.0,1.0,7.769551078621726
CHEMBL86304,O=C(NCCN1CCOCC1)c1ccc(Cl)cc1,inactive,268.74399999999997,1.4020000000000006,1.0,3.0,4.0
CHEMBL4791143,C#CCN1CCC(OC(=O)Nc2ccccc2)CC1,inactive,258.321,2.332700000000001,1.0,3.0,4.0
CHEMBL4779214,C#CCN1CCC(COC(=O)Nc2ccccc2)CC1,inactive,272.34800000000007,2.580300000000001,1.0,3.0,4.987162775294828
CHEMBL4794030,O=C(Nc1ccccc1)OC1CCN(Cc2ccccc2)CC1,inactive,310.39700000000005,3.899700000000003,1.0,3.0,4.0
CHEMBL4781081,O=C(Nc1ccccc1)OCC1CCN(Cc2ccccc2)CC1,inactive,324.42400000000004,4.147300000000003,1.0,3.0,4.583359492661719
CHEMBL4799709,O=C(Nc1ccccc1)OC1CCN(C2Cc3ccccc3C2)CC1,inactive,336.4350000000001,3.866900000000003,1.0,3.0,4.0
